,instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
instant,1.0,0.4040457208710286,0.8660140489946193,0.4891638307722482,-0.004774814643935365,0.014723494213066297,0.0013568200654600693,-0.003415559211918336,-0.01419760329921686,0.13617800734755237,0.1376146101845261,0.009576773993503715,-0.07450453969595212,0.15829540104166423,0.2820457773944356,0.27837869391745607
season,0.4040457208710286,1.0,-0.010742486207836325,0.8303858922042007,-0.00611690086619728,-0.00958452586919976,-0.002335349725048378,0.01374310174705762,-0.014523552139127328,0.3120252372573941,0.31937981095888285,0.15062474540392665,-0.14977275116521144,0.1202064473500264,0.1742256334023612,0.17805573098267663
yr,0.8660140489946193,-0.010742486207836325,1.0,-0.010472928816713665,-0.0038670049493366387,0.0066916166081595835,-0.004484851244110418,-0.0021960054142605447,-0.019156853236267937,0.04091337951165596,0.03922159459595054,-0.08354642088344329,-0.00873953293344798,0.14277852832924245,0.25368430980716655,0.2504948988596485
mnth,0.4891638307722482,0.8303858922042007,-0.010472928816713665,1.0,-0.0057719088298837555,0.01843032523294527,0.010400061080361973,-0.0034769217948592422,0.005399521906108003,0.20169149360986816,0.2080961309174694,0.1644114433757885,-0.13538632320501096,0.06845730074875953,0.12227296677306458,0.12063776021315144
hr,-0.004774814643935365,-0.00611690086619728,-0.0038670049493366387,-0.0057719088298837555,1.0,0.0004791360364798608,-0.0034977394383284097,0.002284998104143218,-0.020202528398648743,0.13760349386560936,0.13374996473160827,-0.2764978279048565,0.1372515675009426,0.30120173025653485,0.3741407098377635,0.39407149778294204
holiday,0.014723494213066297,-0.00958452586919976,0.0066916166081595835,0.01843032523294527,0.0004791360364798608,1.0,-0.10208779083596176,-0.25247136958183775,-0.017036113360590292,-0.027340476921091435,-0.03097273698121888,-0.010588464952625335,0.0039876315751622695,0.03156362837395937,-0.04734542440847335,-0.030927303249110614
weekday,0.0013568200654600693,-0.002335349725048378,-0.004484851244110418,0.010400061080361973,-0.0034977394383284097,-0.10208779083596176,1.0,0.03595507139844422,0.003310739703927733,-0.0017949269841722251,-0.00882094477934529,-0.03715826821855929,0.011501545297833801,0.03272141548201988,0.021577888472997454,0.02689985999083953
workingday,-0.003415559211918336,0.01374310174705762,-0.0021960054142605447,-0.0034769217948592422,0.002284998104143218,-0.25247136958183775,0.03595507139844422,1.0,0.044672223797483236,0.05539031705723657,0.05466723464014179,0.01568751235078407,-0.01182978935650119,-0.3009424860259183,0.13432579113379473,0.030284367747910722
weathersit,-0.01419760329921686,-0.014523552139127328,-0.019156853236267937,0.005399521906108003,-0.020202528398648743,-0.017036113360590292,0.003310739703927733,0.044672223797483236,1.0,-0.10263993557969309,-0.10556310792661813,0.4181303287518022,0.02622565248741047,-0.15262788466438984,-0.12096551971789846,-0.14242613813809568
temp,0.13617800734755237,0.3120252372573941,0.04091337951165596,0.20169149360986816,0.13760349386560936,-0.027340476921091435,-0.0017949269841722251,0.05539031705723657,-0.10263993557969309,1.0,0.9876721390396437,-0.06988139105119423,-0.02312526248533279,0.45961564554484974,0.33536084904299557,0.4047722757786578
atemp,0.1376146101845261,0.31937981095888285,0.03922159459595054,0.2080961309174694,0.13374996473160827,-0.03097273698121888,-0.00882094477934529,0.05466723464014179,-0.10556310792661813,0.9876721390396437,1.0,-0.05191769599336794,-0.06233604268695706,0.45408006533291106,0.33255863540510233,0.4009293041266357
hum,0.009576773993503715,0.15062474540392665,-0.08354642088344329,0.1644114433757885,-0.2764978279048565,-0.010588464952625335,-0.03715826821855929,0.01568751235078407,0.4181303287518022,-0.06988139105119423,-0.05191769599336794,1.0,-0.2901048950638631,-0.34702809283992725,-0.2739331184919315,-0.32291074082456017
windspeed,-0.07450453969595212,-0.14977275116521144,-0.00873953293344798,-0.13538632320501096,0.1372515675009426,0.0039876315751622695,0.011501545297833801,-0.01182978935650119,0.02622565248741047,-0.02312526248533279,-0.06233604268695706,-0.2901048950638631,1.0,0.09028677509691824,0.08232084736312638,0.09323378392612537
casual,0.15829540104166423,0.1202064473500264,0.14277852832924245,0.06845730074875953,0.30120173025653485,0.03156362837395937,0.03272141548201988,-0.3009424860259183,-0.15262788466438984,0.45961564554484974,0.45408006533291106,-0.34702809283992725,0.09028677509691824,1.0,0.5066177004294652,0.6945640779749468
registered,0.2820457773944356,0.1742256334023612,0.25368430980716655,0.12227296677306458,0.3741407098377635,-0.04734542440847335,0.021577888472997454,0.13432579113379473,-0.12096551971789846,0.33536084904299557,0.33255863540510233,-0.2739331184919315,0.08232084736312638,0.5066177004294652,1.0,0.9721507308642957
cnt,0.27837869391745607,0.17805573098267663,0.2504948988596485,0.12063776021315144,0.39407149778294204,-0.030927303249110614,0.02689985999083953,0.030284367747910722,-0.14242613813809568,0.4047722757786578,0.4009293041266357,-0.32291074082456017,0.09323378392612537,0.6945640779749468,0.9721507308642957,1.0
