feature,importance
distance,0.5014203630076476
distance_per_speed,0.20710787024499527
speed_temp_interaction,0.09284682259246997
speed,0.07901531670491714
temp_outside,0.055432957721836755
temp_diff_inside_outside,0.02385051854752977
temp_inside,0.012627872083938528
rain,0.010844164054054825
specials_rain,0.006792670369238262
gas_type_SP98,0.0020601877503952756
gas_type_E10,0.001985506460905398
AC,0.0016692712136601364
has_special,0.0011403419813410783
specials_none,0.001074979547360855
specials_sun,0.0007499599729893655
sun,0.00040506850316862847
refill_gas_none,0.0003539400879171313
has_refill,0.00030599330951619144
refill_gas_SP98,0.00015435713831749023
specials_ac,8.317885052121679e-05
