feature,importance,source
absence_above_7,0.043925839685043114,permutation_importance
absence_parent_risk,0.03268636078753823,permutation_importance
VisITedResources,0.03220520205406421,permutation_importance
Discussion,0.027155004085194067,permutation_importance
relation_mum,0.025201242087277975,permutation_importance
AnnouncementsView,0.02268967612258844,permutation_importance
grade_num,0.02222706219899947,permutation_importance
PlaceofBirth_Jordan,0.02102195422083118,permutation_importance
is_lower_level,0.020436356553965092,permutation_importance
announcement_share,0.020076636067159637,permutation_importance
NationalITy_Jordan,0.019861276844696574,permutation_importance
activity_total,0.019842179941750367,permutation_importance
activity_mean,0.019842179941750367,permutation_importance
high_activity,0.01928971701181919,permutation_importance
parent_answer_yes,0.018465246951983382,permutation_importance
activity_std,0.017194175239253585,permutation_importance
Relation_Father,0.016560788388167925,permutation_importance
Relation_Mum,0.016560788388167925,permutation_importance
nationality_kw,0.016118379876751233,permutation_importance
Topic_French,0.01578048298450454,permutation_importance
raisedhands,0.01527895703177698,permutation_importance
support_good_no_absence,0.01521733760133127,permutation_importance
StageID_MiddleSchool,0.014199594970577873,permutation_importance
GradeID_G-08,0.01210789581870383,permutation_importance
GradeID_G-02,0.010933083670309207,permutation_importance
is_female,0.010164786404521797,permutation_importance
StageID_lowerlevel,0.009943719596578943,permutation_importance
SectionID_A,0.00966440590360389,permutation_importance
Topic_Geology,0.00950846909114252,permutation_importance
NationalITy_Palestine,0.00903464896280089,permutation_importance
SectionID_C,0.00805494218180769,permutation_importance
discussion_per_resource,0.007992017027280163,permutation_importance
Topic_Arabic,0.007954571930433928,permutation_importance
Semester_F,0.007104700685686327,permutation_importance
Semester_S,0.007104700685686327,permutation_importance
SectionID_B,0.006361113748258174,permutation_importance
school_satisfaction_good,0.0061825383494525325,permutation_importance
ParentAnsweringSurvey_No,0.005823582424430179,permutation_importance
ParentAnsweringSurvey_Yes,0.005823582424430179,permutation_importance
GradeID_G-04,0.004435417961572213,permutation_importance
GradeID_G-06,0.0038463520654656246,permutation_importance
Topic_History,0.0033154402786723493,permutation_importance
Topic_Chemistry,0.0018952805133665152,permutation_importance
Topic_Biology,0.0018939798936474627,permutation_importance
Topic_English,0.0014214603850248864,permutation_importance
Topic_Science,0.0011863948633095034,permutation_importance
Topic_Math,0.0004738201283416288,permutation_importance
PlaceofBirth_SaudiArabia,0.0004738201283416288,permutation_importance
GradeID_G-12,0.0,permutation_importance
GradeID_G-11,0.0,permutation_importance
GradeID_G-10,0.0,permutation_importance
GradeID_G-09,0.0,permutation_importance
GradeID_G-07,0.0,permutation_importance
ParentschoolSatisfaction_Bad,0.0,permutation_importance
GradeID_G-05,0.0,permutation_importance
ParentschoolSatisfaction_Good,0.0,permutation_importance
PlaceofBirth_Palestine,0.0,permutation_importance
StageID_HighSchool,0.0,permutation_importance
NationalITy_venzuela,0.0,permutation_importance
NationalITy_Egypt,0.0,permutation_importance
NationalITy_Iran,0.0,permutation_importance
NationalITy_KW,0.0,permutation_importance
NationalITy_Lybia,0.0,permutation_importance
NationalITy_Morocco,0.0,permutation_importance
NationalITy_SaudiArabia,0.0,permutation_importance
PlaceofBirth_venzuela,0.0,permutation_importance
NationalITy_Tunis,0.0,permutation_importance
NationalITy_USA,0.0,permutation_importance
NationalITy_lebanon,0.0,permutation_importance
NationalITy_Syria,0.0,permutation_importance
PlaceofBirth_Egypt,0.0,permutation_importance
PlaceofBirth_Morocco,0.0,permutation_importance
PlaceofBirth_lebanon,0.0,permutation_importance
PlaceofBirth_USA,0.0,permutation_importance
PlaceofBirth_Iran,0.0,permutation_importance
PlaceofBirth_Syria,0.0,permutation_importance
PlaceofBirth_Tunis,0.0,permutation_importance
PlaceofBirth_Lybia,0.0,permutation_importance
PlaceofBirth_KuwaIT,0.0,permutation_importance
Topic_Spanish,-0.00047573406581124524,permutation_importance
Topic_Quran,-0.0005212292350803338,permutation_importance
resource_per_raise,-0.0022537001845536753,permutation_importance
Topic_IT,-0.0033301384606787164,permutation_importance
NationalITy_Iraq,-0.003335880273087566,permutation_importance
PlaceofBirth_Iraq,-0.003335880273087566,permutation_importance
gender_M,-0.0038077864639595783,permutation_importance
gender_F,-0.0038077864639595783,permutation_importance
StudentAbsenceDays_Above-7,-0.004142416058131232,permutation_importance
StudentAbsenceDays_Under-7,-0.004142416058131232,permutation_importance
born_in_kuwait,-0.006775980056044339,permutation_importance
